Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Analytic Developer,$48K-$83K (Glassdoor est.),"Love python and data? Tired of old tech? Love the idea of end to end development from analytics to processing and prototyping? Look no further and join our team of analytical minded developers using real-world state of the art technologies in Big Data and Data Science to develop new tradecraft and tools. At Fortego, you will embark on a journey of impactful technical work of harvesting open source data sets, development, data analysis and data enrichment with driven people that treat you like family.

If this is up your alley, and you’ve got the skills listed below with a TS/SCI with a Polygraph, we encourage you to apply. We will contact you within 3 business days of your application.
As an ideal candidate, you will have some of the following skills:
Data analysis with experience in python or R (strongly desired)
Experience with data mining techniques such as data aggregations, summary statistics, and associative rule mining
Experience with Open Source technologies such as Apache Tomcat and Web Server, Elasticsearch, etc.
Executing processes on utility cloud environments
Be able to maintain source code and utilize configuration management systems such as CodeFoundry or GitLab
Required qualifications:
TS/SCI with a Polygraph
Looking for junior, mid and senior-level engineers
The benefits:
Rewarding your hard work: Referrals, sign on, profit sharing, quarterly awards… need we go on?
Generous training budget: Designed by you.
PTO that has your back: For the families and the unbounded adventures, from furloughs to inclement weather, we are there.
Top notch health care and 401k package: If these drive you, this is your stop.
Something always going on: Team lunches, happy hours, fantasy leagues, game nights, homebrew competitions and monthly family events.
We support innovation: Got an idea? Want to learn something new? Whatever it is we will help see it through.
About Fortego
Fortego helps solve some of the most difficult cyber issues the world faces today. Our employees spend their working hours deep in the trenches handling the most critical and exciting challenges on the national security front. As for the other hours of the day, you will find Fortego employees kicking back and enjoying benefits that span from family activities to sporting events, supporting veterans in the community, and exploring new tech.

Fortego is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.",5.0,"Fortego LLC
5.0","Columbia, MD",-1,51 to 200 Employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Systems Administrator - Dynamics 365,$48K-$83K (Glassdoor est.),"Company Overview

Fanatics is the global leader in licensed sports merchandise and changing the way fans purchase their favorite team apparel and jerseys. Through an innovative, tech-infused approach to making and selling fan gear in today's on-demand culture, Fanatics operates more than 300 online and offline stores, including the e-commerce business for all major professional sports leagues (NFL, MLB, NBA, NHL, NASCAR, MLS, PGA), major media brands (NBC Sports, CBS Sports, FOX Sports) and more than 200 collegiate and professional team properties, which include several of the biggest global soccer clubs (Manchester United, Real Madrid, Chelsea, Manchester City). Fanatics offers the largest collection of timeless and timely merchandise whether shopping online, on your phone, in stores, in stadiums or on-site at the world's biggest sporting events.

About the Team

Fanatics is first and foremost a technology company. We are powered by cutting-edge tech created by our small agile teams using the latest tools and technologies under our highly analytical, forward thinking, and open-minded leadership. As the global leader in licensed sports merchandise, we challenge ourselves by improving our new fully responsive NodeJS cloud commerce platform, Elasticsearch engine, and deep data science capabilities while building the best-in-class retail manufacturing and supply chain technologies. Our tech teams work together to revolutionize data science and engineering initiatives, provide highly scalable real-time and streaming platforms, and create secure e-commerce and in-stadium fan experience products. Our own e-commerce platform transacts in over 190 countries, 17 languages, and 14 currencies. Our motto is “#GSD”—get stuff done—and we do just that. If you want to be at the nexus of sports, commerce, and technology, come be a part of our industry-leading team here at Fanatics Tech.

Fanatics needs you! You are a Microsoft Dynamics 365 Systems Administrator who is passionate about learning, problem solving, and working with people. You thrive in a group setting partnering with finance and tech engineering, product management and business colleagues. You can articulate D365 financial systems concept and break it down into smaller views and provide business partner support.
What you'll be doing?
Experience in deploying Microsoft Dynamics 365 solutions.
Serve as primary system administrator for D365
Configure and maintain D365 and related systems on a day-to-day basis.
Proficiency in D365 administration, especially Microsoft Dynamics Finance and Operations
Manage software licenses and upgrades, user access and security roles.
Implement enhancements including creation of custom objects, workflows, email alerts, and reports.
Prior experience working with, configurations, and creating workflows and reports.
Develop views, reports, and dashboards for use by users and management for improved efficiency
Develop workflows and business rules to enable automation
Answer questions, train and provide end-users support as needed
What we're looking for:
2+ Years of experience in working with MS Dynamics 365
2+ years of experience in D365 Systems Administration and Configuration
Excellent verbal and non-verbal communications skills
Ability to work effectively in both an independent and team environment
Detail-oriented, with excellent analytical, technical, and problem-solving skills
Ability to thrive in a fast paced and dynamic environment
Knowledgeable of Sox compliance
Dynamics 365 implementation experience and on-boarding new corporate entities
MBA or equivalent work experience
Why work at Fanatics:
Fanatics leadership team scored an ""A+"" by 967 employees placing it in the Top 5% of companies sized 1,001-5,000 Employees in the US. Take a look our page on Comparably.
We put an emphasis on our people as Fanatics won 2 awards in 2019 and 3 awards in 2018. Fanatics won Best CEOs for Diversity 2019 and Best CEOs for Women 2019.
Whether it's our comprehensive wellness coverage options, generous time off policies, or a great employee discount to load up on swag of your favorite teams; we boast a competitive total rewards package. Click here to find out more about our perks and benefits.
Competitive compensation as employees at Fanatics rank their Compensation in the Top 20% of similar sized companies in the US.
Casual office environment so that you can be you! Whether it's playing video games or team bonding on the basketball court, there's always a place for you to recharge.
Tryouts are open at Fanatics! Our team is passionate, talented, unified, and charged with creating the fan experience of tomorrow. The ball is in your court now.



NOTICE TO CALIFORNIA RESIDENTS/APPLICANTS: In connection with your application, we collect information that identifies, reasonably relates to or describes you (“Personal Information”). The categories of Personal Information that we collect include your name, government issued identification number(s), email address, mailing address, other contact information, emergency contact information, employment history, educational history, criminal record, and demographic information. We collect and use those categories of Personal Information about you for human resources and other business management purposes, including identifying and evaluating you as a candidate for potential or future employment or future contract positions, recordkeeping in relation to recruiting and hiring, conducting criminal background checks as permitted by law, conducting analytics, and ensuring compliance with applicable legal requirements and Company policies.",3.4,"Fanatics, Inc.
3.4","Jacksonville, FL",-1,5001 to 10000 Employees,1996,Company - Private,Sporting Goods Stores,Retail,$1 to $2 billion (USD),-1
Data Scientist,$48K-$83K (Glassdoor est.),"Research and Sciences

Qualifications:

Are you interested in expanding your career through experience and exposure, all while supporting a mission that seeks to ensure the security of our nation and its allies? If so, then Northrop Grumman is the place for you. As a leading global security company, we provide innovative systems, products and solutions to our customers worldwide. We are comprised of diverse professionals that bring different perspectives and ideas, understanding that the more experiences we bring to our work the more innovative we can be. As we continue to build our workforce we look for people that exemplify our core values, leadership characteristics, and approach to innovation.

We are seeking a Data Scientist to support our customer in Raleigh, NC. This is an on-site position with no telecommute possibilities. In today's economy, our customer must respond faster than ever before; and we have to base that response on insights from data analytics modeling instead of ""years of experience"" or historical reporting. The Data Science and Exploration group will provide the organization with future-oriented analyses that can be used to help drive changes and improvements in business practices. By employing analytical techniques, applied to research data, which go beyond simply describing the data we will be able to explore the hidden relationships and patterns within the data.

The selected candidate will have experience using a variety of data mining/data analysis methods and tools, building and implementing models, using/creating algorithms, and creating/running simulations. The ideal candidate will be adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have an ability to drive business results with their data-based insights. The candidate should be highly analytical with a knack for analysis, math and statistics, with demonstrated critical thinking and problem-solving skills. Passion for machine-learning and research are also highly coveted.

Roles and Responsibilities include but not limited to:
• Data exploration - Explore large data sets using a variety of tools to build model ready data products and provide any requirements to ETL developers to productize.
• Model Building - Description: Leverage analytics tools like SAS to build complex statistical and machine learning models to build predictive and prescriptive strategies.
• Adhoc Insight Generation - Description: Quickly explore data and apply descriptive statistics to provide rapid insights for the business customer.
• Create data mining architectures/models/protocols, statistical reporting, and data analysis methodologies to identify trends in large data sets. Analysis may have many applications such as to address a business issue or provide a competitive advantage for the organization
• Utilizes strong statistical and data visualization skills
• Uses and applies technical principles, theories, and concepts
• Demonstrates the skill and ability to perform professional tasks
• Develops recommended solutions to technical problems as assigned
• Submits work for review of soundness of technical judgment, quality, and accuracy
• Contributes to the completion of assigned technical tasks",3.8,"Northrop Grumman Corporation
3.8","Raleigh, NC",-1,10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
"VP, Digital Evangelist",$48K-$83K (Glassdoor est.),"Vice President – Digital Evangelist Team

You will build a new Digital Evangelism team as part of the Software AG API and Integration Business Unit. This is an important new team and role in the transformation of the company. In the position of Digital Evangelist, you will work as a trusted advisor with prospects and customers. You will promote Software AG as a thought leader in the domains of API management, microservices, hybrid integration and digital transformation. There is no business or organization that is not being changed significantly by the digital era. The Digital Evangelist will work with prospects and customers C-levels and technical leaders on a wide range of activities ranging from workshops, virtual consultations, best practices and adoption.

While the goal is driving and supporting the sales cycle for the company, you will often achieve this by gaining the trust of the prospect or customer in a vendor neutral manner. Every customer is unique in their needs, so you will need to quickly assess the areas that need attention and propose solutions that delivers them a winning strategy. You will work closely with product, Sales, pre-Sales and marketing teams.

This role reports to the General Manager, API and Integration Business Unit

Key Goals of the Position
Build the Digital Evangelist team and function at Software AG
Establish Software AG as the thought leader in the market for API and Microservices
Create compelling content that will expand our company’s brand and digital footprint through thought leadership
Create new models for engaging with decision makers at prospects and customers that make Software AG a trusted advisor
Essential Job Functions
Create thought leadership content and new engagement models, particularly in the area of API, Microservices and Digital Transformation, that can be delivered by the digital evangelist team and others
Refine the role for the Digital Evangelist team at Software AG; build and lead the evangelist team by hiring key members globally
Work with Sales and pre-Sales team globally to engage with prospects and customers to understand their challenges in digital transformation and guide them on the journey with strategy and action plans. Create plan that includes all stakeholders and materials to help gain buy-in and eliminate roadblocks.
Design and develop paid workshops on API management and digital transformation that deliver customers with API and microservices best practices, maturity roadmap and architecture blueprints to for transformation.
Conduct short free online consultations with customers and prospects on API, microservices and iPaaS strategies and solutions to gain their trust.
Create compelling content that defines and promotes the Software AG point of view and evangelize it both internally and externally.
Speak at leading industry conferences and events communicating Software AG’s unique point of view to audiences.
Constantly create new thought leadership content and deliver it through various channels.
Work with industry thought leaders and Software AG community to establish a differentiated, bold and loud voice for Software AG in the market
Skills and Qualifications
Ability to quickly grasp a wide range of emerging technologies with the ability to combine design thinking, technology, data science and business, and understand how they come together to solve customer business problems.
Ability to quickly understand and absorb complex technical challenges, business needs, design solutions and effectively communicate them to a decision maker audience.
Be an engaging communicator, passionate about technology, and have a keen eye for detail, excellent organizational, analytical, and delivery skills, and have an entrepreneurial mindset.
You are a digital dreamer, thinking of what can be and expanding people’s horizons and thinking in new ways.
Proven track record as an influencer in the API or Digital markets.
Designed and delivered API, microservice and digital workshops and best practices to large enterprises.
In-depth practical technical experience with API management, microservices and integration solutions, customer challenges and best practices.
Minimum of 5 years experience as a Digital or Technology Evangelist and managed a team.
Over 10 years of work experience in enterprise software, SaaS and modern cloud solutions.
ABOUT US

Software AG began its journey in 1969, the year that technology helped put a man on the moon and the software industry was born.

We’re passionate about software, passionate about our people, and passionate about using technology to create truly world-class products.

YOU’VE PROBABLY USED OUR SOFTWARE—IF YOU LIVE ON PLANET EARTH

The name “Software AG” may never appear on your online banking screen, your sweet wrapper or the cup from your barista. You may never see “Software AG” in the movie’s credits, on your mouse or on the side of the plane you just flew —but our software is virtually everywhere. The fact is leading brands use Software AG technology every day to serve you better. Leading organizations trust us. One reason: We’re driven by customer success. We are the pulse that keeps the world living and thriving.

Culture

We have an open-minded culture where you have the freedom to “be your best you” and offer many challenging yet exciting projects for you to work on. You’ll have opportunities for international collaboration on top of a comprehensive training and development program that encourages professional growth. We are in an innovative market and offer future-proof products. Most importantly, we believe in work-life balance and offer flexible hours and overall a pleasant team-oriented working atmosphere.

WHAT YOU CAN EXPECT
The employees are smart, friendly and welcoming
Free underground parking – never get wet or shovel snow
Health Insurance starts your first day on the job
Three weeks paid vacation & three weeks paid sick leave
10 paid holidays (including a floating holiday and a community service day)
401(k) Plan with up to 5% employer match
Business Casual office
Kitchen on every floor with cable TV – also, subsidized snacks & cold drinks
Software AG is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration without regard to race, age, religion, color, marital status, national origin, gender, gender identity or expression, sexual orientation, disability, or veteran status.

Click on the link to view the full EEO statement http://www.softwareag.com/corporate/images/EEO_Statement_tcm16-130491.pdf

IND123",4.0,"Software AG
4.0","Santa Clara, CA",-1,5001 to 10000 Employees,1969,Company - Public,Computer Hardware & Software,Information Technology,$500 million to $1 billion (USD),-1
Data Science Software Engineer,$48K-$83K (Glassdoor est.),"The Schneider organization is seeking an experienced Data Science Software Engineer to be responsible for the creation of tools and applications that enable complex Advanced Analytics solutions within the enterprise. You will create conceptual prototypes to test new concepts, develop advanced analytics systems to solve challenging business problems, and deploy these tools and systems into the business and monitor their effectiveness and usefulness. You will also research the use of purchased and open-source technologies and concepts that support the creation of tools and systems for use by technical and non-technical users.

About the role:
Provide expert technical guidance in project working groups. Will frequently be asked to lead technical project discussions.
Gather requirements, design, develop, test, implement, and support applications developed across various development environments and in various languages.
Work with the Engineering team to develop and apply heuristics and mathematical concepts, such as natural language processing (NLP), simulation, optimization, machine learning, and statistical models to business problems. Develops state-of-the-art advanced analytics solutions for complex business problems.
Create prototype applications for complex solutions to implement approved concepts, actively guides and monitors the prototype when deployed to key users, transitions the prototype into a production system and provides production-support after implementation.
Follow appropriate development methodologies while developing applications.
As an associate you will enjoy a strong work/life balance that includes paid vacation and holidays along with paid personal time off. You will also have access to medical, dental, and vision insurance and enjoy our company-paid life insurance and 401k savings with a company funded retirement plan. Schneider is dedicated to continuous individual development and offers a wide variety of opportunities through company-paid training and more than 170 personal development courses. What are you waiting for? You will love it here!

Our ideal candidate will have:
Bachelors degree in Computer Science, Information Systems, or related field, plus a minimum of 5 years of IT work experience in systems analysis, designing, programming, system admin, implementation and maintenance of applications within an application domain; or the equivalent.
Advanced knowledge of advanced analytics software technologies, technical design, programming, monitoring, and troubleshooting enabling software related technologies. Knowledgeable of advanced analytics strategies, architectural standards and best practices.
Two or more years of experience with two or more programming languages from the following list required: Java, Python, JavaScript, C++, Ruby, C#, Objective-C or R.
Advanced experience with Python or Java specifically.
Experience with any data science tools such as R, SAS, or SPSS a plus. Experience with the HDFS/YARN/Spark and related tools a plus.
Experience with mathematical modeling languages (DOcplex/CPLEX, Matlab, GAMS) a plus.
Experience developing applications in a Linux server environment preferred.
Company overview:

Schneider is a premier provider of transportation and logistics services. Our legacy started in 1935 with one man, one truck and one dream. Since then, we’ve grown and evolved to become a nearly $5 billion company (2019 revenue) with one of the broadest portfolios of services in the industry delivering superior customer experiences.

The Schneider Way:
We treat our customers, associates, shareholders and suppliers with integrity, dignity and respect.
We are a desirable employer due to our dedication to achieving mutually beneficial, lasting relationships.
We are a responsible member of the community.
Core Values:
Safety- first and always
Integrity in every action
Respect for all
Excellence in all that we do
Rise to the challenge and become a part of the Schneider family. Be the difference with a leader in an industry that impacts the world.

Apply today at http://www.schneiderjobs.com/.
Schneider is an equal opportunity employer.",3.1,"Schneider National, Inc.
3.1","Green Bay, WI",-1,10000+ Employees,1935,Company - Public,Transportation Management,Transportation & Logistics,$2 to $5 billion (USD),-1
Data Analyst - Online Education,$48K-$83K (Glassdoor est.),"THIS IS NOT A REMOTE POSITION


THIS POSITION WILL BE BASED OUT OF THE

TUCSON CORPORATE OFFICE

ESSENTIAL FUNCTIONS
Utilize advanced statistical abilities and tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for diagnostic and predictive efforts.
Prepare reports and visualizations that effectively communicate trends, patterns, and predictions.
Assist with preparing, collecting, and analyzing quantitative (surveys, etc.) and qualitative (focus groups, etc.) data from students, faculty and staff.
Partner with stakeholders to gain a thorough understanding of needs.
Mine data from primary and secondary sources and reorganizes into a format that can be easily read by human or machine.
Work closely with IT in establishing data systems protocols for data needs.
Coach team members on how to use tools to their greatest benefit.
The list of essential functions is not exhaustive and may be supplemented.

MINIMUM QUALIFICATIONS
Bachelor’s Degree or higher, preferably in a computational field such as computer Science, Mathematics, Statistics, Physics, Engineering.
Three (3) years of experience working with large data sets or relational databases.
Three (3) years of experience with forecasting, trend analysis, and predictive modeling.
Demonstrated experience using SQL, Excel, R or Python, and visualization platforms such as Tableau or Power BI.
Experience working in higher education preferred.
Take initiative and ownership of projects.
Problem solving and analytical skills.
Business acumen.
Time management skills and able to prioritize and deliver projects and deliverables on time.
Comfortable working in a fast-paced, entrepreneurial environment.
Collaborative and team focused.",4.7,"Pima Medical Institute
4.7","Tucson, AZ",-1,1001 to 5000 Employees,1972,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1
Data Scientist,$48K-$83K (Glassdoor est.),"At Waymo, we're focused on bringing self-driving technology to the world. Our mission is to make it safe and easy for people and things to move around. Today, our driverless cars are serving our first customers with no drivers behind the wheel. To experience our self-driving technology, see this 360-degree video.

In this data science role, you will:
Safety evaluation is of fundamental importance to Waymo, and measuring it is subtle. This role works with a wide variety of teams across the company (onboard software engineering, product, safety, systems engineering) to evaluate the driving and safety performance of Waymo's self driving car. This is based on a wide variety of data from real and simulated driving from Waymo's self-driving system as well as from external data sources.
The Planner Team is responsible for ""motion planning"" for the self driving car. This includes gracefully handling many complex situations involving social interactions (merging, negotiating narrow roads, etc), while dealing with a noisy and uncertain environment. Evaluation of this onboard decision-making system is a complex, open-ended problem with tremendous potential impact. The quality of the road maneuvers we execute is subjective, contextual, and geometrically subtle, and evaluation needs apply to a wide variety of conditions with an extremely long tail.
Additionally:
Analysis and improvement of existing data sources and metrics
Development of novel approaches to measuring and improving
Self-driving performance (either generally, or for motion planning specifically)
Collaborate with engineers and other data scientists to evaluate and improve core
Waymo technologies, with a focus on bringing statistical depth, general analytical rigor, and accurate causal interpretation of data.
We'd like you to have:
PhD in statistics, math, or other quantitative area
Progressive statistics background either in academia or industry
Data science and system evaluation experience
Willingness to understand a complex system and its various components
Experience with tools for manipulating big data
Experience with R/Python and statistical libraries
It's preferred if you have experience in:
Experience with C++
Familiarity with Spark/MapReduce
Training or interest in geometry or classical physics",3.0,"Waymo
3.0","Mountain View, CA",-1,Unknown,2009,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,$48K-$83K (Glassdoor est.),"Back to search results
Previous job

Next job

JOB DESCRIPTION

A BIT ABOUT OUR DATA SCIENCE & ANALYTICS TEAM

Mars Petcare Data Science & Analytics team is core to our strategy. We’re using digital, data and customer insights to transform our business by finding answers to problems that we’ve often never asked ourselves before. Our vast data assets are being combined to build a 360° view of pets and pet owners to not only power Kinship’s businesses but also influence the next great ideas in the pet care space. This role will be key in helping us understand the power of our data, and how this translates into value for our company, our pets, and pet owners everywhere. Frequently the projects will be ambiguous, but that’s part of the fun; you will determine the best way to leverage our data to tell the right story for any given audience.

HOW YOU’LL CREATE A BETTER WORLD FOR PETS
Apply advanced analytics & data science approaches to understand and predict pet and pet owner behaviors
Collaborate with internal and external teams to ensure we focus on pet-centric product and service recommendations
Support new pet technology businesses and partners by generating actionable insights from our data assets
Develop compelling stories that provide insight into the drivers of business performance and pet/pet owner behavior
WHO WE NEED TO CHART THE FUTURE OF PET CARE

We strive to hire people who are passionate about our mission: Shaping the Future of Pet Care. For all of our Kinship roles, we look for candidates who exemplify our core values. We believe what we do is just as important as how we do it, and we aim to hire people who are:
Optimistic
Purposefully Inquisitive
Open to All
And for this role, we hope you have the following skills we require to knock it out of the dog park:
Truly inspired by, and want to live, our purpose of creating a better world for pets.
4+ years’ experience in a data science role handling varied and complex data
Varied technical experience in delivering statistical analytics, data science and insight on large-scale consumer data sets across multiple sectors, including packaged goods and retail
Hands-on experience with Python is required; Familiarity with PySpark is also desirable
Comfortable with ambiguity, with a passion for collaboration to achieve objectives
A Bachelor’s degree in quantitative field (economics, statistics, business, computer science) or equivalent experience
Passion for growing and strengthening a business using data driven approaches
Familiarity with cloud-based computing services e.g. AWS, Databricks, etc.
Enjoys explaining how technical concepts to both non-technical and technical stakeholders.
WHY JOIN US?

We offer our associates a unique opportunity to have a completely customizable career within pet care. Through Kinship you will work with and learn from a community of industry executives, pet partners, entrepreneurs, and fellow associates across our startup investment companies, outside partners, and in Mars Petcare. Our nimble and flexible approach to work allows you to make an immediate impact across businesses, while learning new skills at every stage. The diversity of our work opens doors to big opportunities and unlocks enormous potential for countless career experiences in pet care. Join us in our mission to chart the future of pet care, alongside the industry’s brightest minds.

Kinship’s offices are global, and so are our associates. We are located in NYC, San Francisco, Portland, London, Helsinki, Shanghai, and in Moscow. Many of us flex between our dog-friendly hubs and our home offices. Today, Kinship offers exceptional benefits for you, your family, and your pets, generous paid time off, exponential opportunities to build a career within pet care, and progressive reward packages. Interested? Let’s take big strides, together.",4.0,"Mars, Incorporated
4.0",United States,-1,10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),-1
Research Analyst (Education Metrics Development),$48K-$83K (Glassdoor est.),"About the Role:


Do you love to work with the numbers? Do you believe in changing lives through research? Are you someone who thrives in a team environment?

The Specialist, Research and Data Analytics (aka Research Analyst) works with other members of the National Student Clearinghouse Research Center team to expand the usage of Clearinghouse data for educational research purposes. As a member of the Research Center, the Specialist, Research and Data Analytics contributes to research on student enrollment, movement, and other important student outcomes using student-level data provided exclusively to the Clearinghouse by our nationwide network of postsecondary institutions. These reports are to benefit and better inform the educational community, policymakers, community leaders, and others.

How You Contribute:
Assist in the creation of research reports by extracting data, conducting analysis, and developing output tables and data visualizations as needed.
Play an important role in triangulating and incorporating report results with relevant external sources.
Coordinate and effectively manage multiple research projects simultaneously in a fast-paced team environment.
Utilize SAS programming techniques and SQL queries to extract educational records from enterprise resources and reshape these data into analytical datasets that facilitate calculation of educational outcomes metrics.
Assist with writing literature reviews, maintaining data warehouse documentation, and responding to information requests from internal and external stakeholders.
Demonstrate NSC’s competencies, which align with our corporate value
Core Competencies include: Customer Focus, Optimizes Work Processes, Collaborates, Communicates Effectively, and Be Open and Authentic
Manager will provide more detail to candidates as needed.
Position may be required to perform other duties as required. These essential functions are representative of those that must be met by an employee to successfully perform the job. Reasonable accommodations will be made to enable individuals with disabilities to perform these essential functions.

What You Bring to the Table:
Bachelor’s degree in Education, Social Sciences, Statistics, Information/Data Science, or related field.
2-3 years of directly related research experience including administering research projects, data cleaning and manipulations, quality assurance, validation and successfully collaborating on research projects, or knowledge of and experience with Clearinghouse data operations.
Experience with SAS programming, or experience with a similar package that is command line driven (Python, R, STATA, SPLUS), or proficiency with SPSS syntax).
Experience with large database and data warehouse experience.
Strong verbal and written communication skills.
Team player and proven ability to work collaboratively as well as independently without close supervision.
Proficiency with Microsoft Office Suite.
Live within a commutable distance of Herndon, VA.
Additional Desired Requirements:
Master’s degree.
Experience using Tableau or other data visualization software.
Familiarity with national and state education data sources.
Research project management skills with the ability to conceptualize research ideas and develop implementation plans to complete work timely.
Interest in issues and challenges facing the higher education community.
Physical Demands:

Use of a computer for 8 or more hours a day.
Use of a copy machine and telephone.
Frequently required to sit for 7 or more hours per day in close proximity to others in an open office environment.
Vision abilities include close vision and the ability to adjust focus.
Must be flexible to do out-of-town assignments and travel via car, train, or airplane, when needed for training or professional development.",3.1,"National Student Clearinghouse
3.1","Herndon, VA",-1,201 to 500 Employees,1993,Nonprofit Organization,Colleges & Universities,Education,$25 to $50 million (USD),-1
Machine Learning Engineer,$48K-$83K (Glassdoor est.),"Who We Are:
Storyblocks is a subscription-based stock media service focused on empowering the creative community. We offer a suite of content - video, audio, and images - to fuel our mission of helping our customers create more moving stories. Storyblocks helps digital storytellers unlock their creative potential by providing beautiful stock videos, images, and music that fit with any budget. We are a member-driven company, serving over 200,000 content creators that range from prosumers to SMBs to studios and Fortune 500 brands. Our members can subscribe to our video, image or music libraries, or any combination of the three, to ensure they are able to be brilliant on any budget.
What You'll Do:
Develop features within Agile/Scrum environment for our core products and supporting technologies
Practice test-driven development with regular participation in code reviews and design reviews
Come up with fun projects for our regular hackathons
Communicate directly with our Product, Marketing, Sales, Customer Service, Finance, and Content teams regularly to refine requirements and develop features
Be a team player! Be honest, give regular constructive feedback, come up with team activities, etc. Help the team grow and help Storyblocks grow you
What You Bring to the Table:
2+ years of professional software development experience
Proficient in any structured and object-oriented programming languages (we're language agnostic), relational databases, or NoSQL databases
Demonstrated ability to problem solve and develop large-scale software products
Communication, presentation and interpersonal skills
Ability to collaborate with people at all levels across functions
BA/BS in Computer Science or related technical field, or a suitable technical certification
What We Bring to the Table:
Competitive and fair compensation - For each title, we have consistently applied competitive salary bands based on market data and benchmarks. What you’ve been paid before, fear of conflict, or willingness to negotiate does not play a part.
Company-paid medical - Our medical, dental and vision premiums are covered 100% for you and your dependents.
Paid parental leave - Welcoming new family members is exciting, but it can also be challenging. We offer twelve weeks paid leave for primary caregivers and four weeks for secondary caregivers. We have a dedicated private nursing room available to new mothers.
Unlimited vacation - At Storyblocks we take vacation seriously. That means take the time off when you need it. Don’t worry about tracking hours or accounting for partial days. Typically employees take about three or four weeks each year.
Flexible work-from-home options - Much of our workflow is online, and for meetings, we have dedicated video-conferencing setups. As long as you deliver results, you are welcome to get your work done outside of the office or during unusual times when desired.
Company-sponsored mentorship and growth - We have a formal mentorship program that involves regular career and growth conversations. “360-degree” feedback is collected twice a year and synthesized into actionable, peer-reviewed, performance reviews. We happily foot the bill for conferences and online courses that will add value to the organization. We encourage attending meetups and are happy to host them as well.
Casual Work Environment - Sure we all get dressed up once in a while, but in general we want you to be comfortable at the office – whatever that means to you (flip-flops, shorts, jeans, etc.).
Fully stocked kitchen - Everyone gets input on the food and drinks we stock in our shared refrigerators and snack room. We have multiple mechanisms for making coffee and cold-brew kegs are often on tap.
Dogs in the office - We love dogs and we will probably love your dog too. With help from a calendar, we allow employees to bring in their dogs to help guide us through the day.
Storyblocks supports workplace diversity and does not discriminate in employment matters on the basis of race, color, religion, gender, national origin, age, military service eligibility, veteran status, sexual orientation, marital status, disability, or any other protected class.",4.8,"Footage Firm Inc.
4.8","Arlington, VA",-1,51 to 200 Employees,2011,Company - Private,Internet,Information Technology,$25 to $50 million (USD),-1
